<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^BDS,20141024,390.8000,395.9300,388.3000,393.5800,357647
^BDS,20141027,393.5800,395.1700,385.3900,387.2000,486761
^BDS,20141028,387.2000,390.9700,384.9300,387.9100,357882
^BDS,20141029,387.9100,395.8500,387.3600,395.5200,453163
^BDS,20141030,395.5200,398.3300,393.1900,394.4100,351346
^BDS,20141031,394.4100,399.4400,390.3500,399.2100,498544
^BDS,20141103,399.2100,410.1300,399.0000,407.1500,887736
^BDS,20141104,407.1500,409.0200,401.3300,402.8900,500258
^BDS,20141105,402.8900,405.0800,397.0000,402.7100,440119
^BDS,20141106,402.7100,404.8500,398.7100,400.3300,329801
^BDS,20141107,400.3300,403.8200,397.6900,403.5400,366944
^BDS,20141110,403.5400,410.9100,402.8200,405.9800,593002
^BDS,20141111,405.9800,408.4600,403.7100,405.5100,430930
^BDS,20141112,405.5100,410.3700,405.2000,407.8000,463327
^BDS,20141113,407.8000,410.5200,404.7500,406.1800,401260
^BDS,20141114,406.1800,411.0600,402.4200,409.2400,949402
^BDS,20141117,409.2400,413.4800,408.6400,410.2200,426390
^BDS,20141118,410.2200,410.5500,401.2600,401.5900,529147
^BDS,20141119,401.5900,403.0500,398.6700,400.8800,379829
^BDS,20141120,400.8800,405.1100,399.4100,401.0300,379201
^BDS,20141121,401.0300,402.6900,396.3500,397.0500,407070
^BDS,20141124,397.0500,401.8100,392.3200,396.8500,335659
^BDS,20141125,396.8500,407.3400,396.5000,406.4300,546587
^BDS,20141126,406.4300,409.4800,399.3200,400.3100,601929
^BDS,20141127,400.3100,402.8200,396.6300,400.6400,216225
^BDS,20141128,400.6400,408.1400,400.0700,401.6700,394473
^BDS,20141201,401.6700,407.2200,400.1700,402.6000,188420
^BDS,20141202,402.6000,406.2700,401.4800,402.9200,311383
^BDS,20141203,402.9200,404.9600,399.9000,401.7200,500845
^BDS,20141204,401.7200,405.6500,400.9900,402.2200,279779
^BDS,20141205,402.2200,406.5400,401.4900,404.3400,316805
^BDS,20141208,404.3400,407.5100,401.3500,405.1600,342939
^BDS,20141209,405.1600,405.3100,390.7500,393.6900,537493
^BDS,20141210,393.6900,404.3500,390.9400,402.8900,322529
^BDS,20141211,402.8900,406.0300,397.0000,399.3300,414199
^BDS,20141212,399.3300,402.6800,398.2000,400.3300,257213
^BDS,20141215,400.3300,401.8600,398.2700,399.0900,175462
^BDS,20141216,399.0900,399.1700,389.1900,390.0000,445955
^BDS,20141217,390.0000,392.0100,365.2300,373.6000,760679
^BDS,20141218,373.6000,390.5100,373.4600,389.0800,373300
^BDS,20141219,389.0800,393.1300,384.2200,387.6200,996079
^BDS,20141222,387.6200,391.4600,387.1400,388.3200,291701
^BDS,20141223,388.3200,390.7200,383.3900,384.4500,126099
^BDS,20141224,384.4500,388.0000,383.6400,385.0200,111623
^BDS,20141225,385.0200,386.3100,378.6300,379.1500,105380
^BDS,20141226,379.1500,385.7200,373.6400,382.6200,314843
^BDS,20141229,382.6200,387.1300,376.9100,384.3000,223150
