<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^DAUKHI,20170927,507.9900,515.5200,505.5100,513.3500,484956
^DAUKHI,20170928,513.3500,517.1700,508.3100,510.9400,477424
^DAUKHI,20170929,510.9400,511.2200,499.4300,501.7600,403821
^DAUKHI,20171002,501.7600,506.7000,498.4400,500.3100,420687
^DAUKHI,20171003,500.3100,502.6300,487.8100,492.0300,341794
^DAUKHI,20171004,492.0300,496.4200,487.2800,495.4800,321809
^DAUKHI,20171005,495.4800,501.9700,488.6800,491.8700,581291
^DAUKHI,20171006,491.8700,495.2000,489.8700,492.4200,372281
^DAUKHI,20171009,492.4200,495.2600,485.9600,489.6100,297608
^DAUKHI,20171010,489.6100,491.4200,484.9900,489.3100,486181
^DAUKHI,20171011,489.3100,496.0900,488.7400,493.9500,443752
^DAUKHI,20171012,493.9500,498.5200,489.7900,494.2200,491892
^DAUKHI,20171013,494.2200,500.2800,490.9000,498.9300,764746
^DAUKHI,20171016,498.9300,504.5400,493.8800,496.9500,496947
^DAUKHI,20171017,496.9500,501.6200,493.5900,499.7500,305747
^DAUKHI,20171018,499.7500,509.9400,496.6600,502.4000,521935
^DAUKHI,20171019,502.4000,509.9500,501.4000,507.3700,502738
^DAUKHI,20171020,507.3700,515.4700,504.8300,508.6000,462557
^DAUKHI,20171023,508.6000,509.9900,493.7200,495.1400,452886
^DAUKHI,20171024,495.1400,503.1600,486.5900,500.5900,515231
^DAUKHI,20171025,500.5900,503.5400,493.7000,501.1400,347816
^DAUKHI,20171026,501.1400,502.1800,491.5300,495.6500,392608
^DAUKHI,20171027,495.6500,500.4400,491.6500,500.2700,264751
^DAUKHI,20171030,500.2700,521.1200,498.3600,513.2900,1314581
^DAUKHI,20171031,513.2900,517.8400,504.6000,505.5800,610694
^DAUKHI,20171101,505.5800,514.9200,502.0900,511.3200,724322
^DAUKHI,20171102,511.3200,514.6700,494.6100,498.1600,604046
^DAUKHI,20171103,498.1600,505.7900,496.6100,503.4600,505798
^DAUKHI,20171106,503.4600,513.2300,492.9100,503.7900,626783
^DAUKHI,20171107,503.7900,516.7200,499.1500,506.9700,786105
^DAUKHI,20171108,506.9700,519.2700,506.2300,517.1300,585367
^DAUKHI,20171109,517.1300,522.8800,511.7500,521.2200,509504
^DAUKHI,20171110,521.2200,524.0600,514.8900,521.4200,472313
^DAUKHI,20171113,521.4200,534.2300,508.0800,526.8900,633275
^DAUKHI,20171114,526.8900,533.8300,518.2800,528.0300,512605
^DAUKHI,20171115,528.0300,534.4000,521.0300,531.0900,479313
^DAUKHI,20171116,531.0900,536.4500,526.7600,534.3500,601645
^DAUKHI,20171117,534.3500,537.0000,524.1300,527.5800,634437
^DAUKHI,20171120,527.5800,546.9000,527.1100,542.9600,665874
^DAUKHI,20171121,542.9600,563.6500,538.6800,551.7800,812433
^DAUKHI,20171122,551.7800,570.2200,550.0000,563.6700,725971
^DAUKHI,20171123,563.6700,570.9000,548.7800,551.8300,927774
^DAUKHI,20171124,551.8300,555.3500,544.3600,550.6100,772365
^DAUKHI,20171127,550.6100,564.8300,548.4600,557.1900,729697
^DAUKHI,20171128,557.1900,559.5200,546.8800,548.5300,581243
^DAUKHI,20171129,548.5300,557.6000,541.5700,553.8300,805647
^DAUKHI,20171130,553.8300,567.4500,550.7400,553.6600,645516
^DAUKHI,20171201,553.6600,574.0200,553.3500,572.3500,861231
^DAUKHI,20171204,572.3500,582.0900,567.7700,575.1400,799179
^DAUKHI,20171205,575.1400,593.4200,570.0100,578.8600,1116701
^DAUKHI,20171206,578.8600,587.2000,569.5200,580.4300,799350
^DAUKHI,20171207,580.4300,593.0600,572.4000,582.1200,784321
^DAUKHI,20171208,582.1200,595.8000,575.7500,588.1800,607692
^DAUKHI,20171211,588.1800,589.2300,571.4100,573.3700,748034
^DAUKHI,20171212,573.3700,594.1500,556.0000,590.5800,1243089
^DAUKHI,20171213,590.5800,600.7700,581.2700,584.6600,914997
^DAUKHI,20171214,584.6600,592.0500,578.2700,587.9900,689541
^DAUKHI,20171215,587.9900,594.9900,585.3100,593.9700,471247
^DAUKHI,20171218,593.9700,622.9500,593.9700,620.7000,1035533
^DAUKHI,20171219,620.7000,629.8800,609.6900,616.3100,906639
^DAUKHI,20171220,616.3100,649.5900,616.0700,633.0900,1321046
^DAUKHI,20171221,633.0900,648.4100,629.7900,632.8500,854033
^DAUKHI,20171222,632.8500,639.5900,624.1500,633.6700,576586
^DAUKHI,20171225,633.6700,650.0600,632.6100,647.6600,666681
^DAUKHI,20171226,647.6600,666.5100,647.3300,665.5100,785713
^DAUKHI,20171227,665.5100,680.9900,661.8900,671.3600,822646
^DAUKHI,20171228,671.3600,677.3700,659.0500,673.2900,729488
^DAUKHI,20171229,673.2900,682.1900,663.5600,669.7000,825198
^DAUKHI,20180102,669.7000,679.0100,650.8400,660.8900,1300608
^DAUKHI,20180103,660.8900,676.7900,656.6100,672.8200,1018364
^DAUKHI,20180104,672.8200,703.2300,672.6200,701.6900,1038951
^DAUKHI,20180105,701.6900,711.7300,687.4700,696.5800,996109
^DAUKHI,20180108,696.5800,718.2800,688.3200,710.8400,873073
^DAUKHI,20180109,710.8400,728.3000,706.3500,716.7500,845739
^DAUKHI,20180110,716.7500,741.7500,716.4800,729.8700,1079576
^DAUKHI,20180111,729.8700,744.8300,716.4200,738.6500,812176
^DAUKHI,20180112,738.6500,750.0700,717.4800,722.0700,1255292
^DAUKHI,20180115,722.0700,742.4100,711.3000,740.0500,926614
^DAUKHI,20180116,740.0500,754.7900,732.5400,747.3700,1035688
^DAUKHI,20180117,747.3700,754.8900,716.9300,717.0200,1096385
^DAUKHI,20180118,717.0200,722.4500,691.1200,721.0000,1204277
^DAUKHI,20180119,721.0000,739.2900,715.1900,729.3700,1092013
^DAUKHI,20180122,729.3700,767.6500,719.2900,763.6300,1588484
^DAUKHI,20180125,763.6300,804.0500,762.7200,795.7100,1519227
^DAUKHI,20180126,795.7100,828.1100,780.4600,808.6100,1656663
^DAUKHI,20180129,808.6100,821.7900,795.4000,804.8000,1023189
^DAUKHI,20180130,804.8000,808.8900,773.8100,798.5600,1224319
^DAUKHI,20180131,798.5600,841.9600,771.6200,824.8200,2135796
^DAUKHI,20180201,824.8200,829.8000,795.6300,811.6800,1361869
^DAUKHI,20180202,811.6800,821.6900,795.3200,806.6300,691578
^DAUKHI,20180205,806.6300,806.6300,750.0200,750.9000,1142427
^DAUKHI,20180206,750.9000,750.9000,697.5900,699.6100,1120859
^DAUKHI,20180207,699.6100,742.6900,696.4700,731.5100,927328
^DAUKHI,20180208,731.5100,731.8100,695.0700,695.9900,745304
^DAUKHI,20180209,695.9900,696.5100,647.0700,655.4500,1066430
^DAUKHI,20180212,655.4500,699.7800,647.9800,699.7300,957335
^DAUKHI,20180213,699.7300,727.6900,699.5000,719.5100,576396
^DAUKHI,20180221,719.5100,752.8500,718.5300,739.5700,698788
^DAUKHI,20180222,739.5700,740.1200,701.7300,706.8300,708146
^DAUKHI,20180223,706.8300,747.2700,706.2800,744.5400,892855
^DAUKHI,20180226,744.5400,791.5500,744.0600,768.3800,1018539
^DAUKHI,20180227,768.3800,785.8100,760.9800,770.9300,710092
^DAUKHI,20180228,770.9300,784.1300,756.0900,779.5100,896858
^DAUKHI,20180301,779.5100,791.5900,751.4000,780.1800,4666559
^DAUKHI,20180302,780.1800,803.1200,767.0400,783.5800,2883077
^DAUKHI,20180305,783.5800,808.9400,757.0800,758.5300,2002931
^DAUKHI,20180306,758.5300,786.6700,751.3100,780.2800,1602970
^DAUKHI,20180307,780.2800,787.2300,746.6400,759.8500,1463025
^DAUKHI,20180308,759.8500,773.1500,740.7900,754.2900,996287
^DAUKHI,20180309,754.2900,770.1800,741.2900,746.0300,1478371
^DAUKHI,20180312,746.0300,768.8000,736.1100,753.0800,1032242
^DAUKHI,20180313,753.0800,757.6800,733.5300,743.2600,1015092
^DAUKHI,20180314,743.2600,759.0500,727.1300,744.7600,2185569
^DAUKHI,20180315,744.7600,764.5800,731.6800,756.8800,1285414
^DAUKHI,20180316,756.8800,791.4000,751.1800,782.7100,1527315
^DAUKHI,20180319,782.7100,797.4900,771.1300,786.2500,1522555
^DAUKHI,20180320,786.2500,800.1600,772.8700,783.8100,1464043
^DAUKHI,20180321,783.8100,804.2200,783.1700,792.4900,1216628
^DAUKHI,20180322,792.4900,823.4200,787.9900,810.7500,1306314
^DAUKHI,20180323,810.7500,811.4000,777.7300,794.5600,1382778
^DAUKHI,20180326,794.5600,816.2800,780.6700,781.6300,1548093
^DAUKHI,20180327,781.6300,798.8400,760.4700,768.6600,1492439
^DAUKHI,20180328,768.6600,775.3000,755.5200,768.9100,853760
^DAUKHI,20180329,768.9100,773.7500,759.0400,765.3000,600757
^DAUKHI,20180330,765.3000,790.7000,762.3800,788.8700,824019
^DAUKHI,20180402,788.8700,812.3300,783.2300,804.3500,1159558
^DAUKHI,20180403,804.3500,807.3600,782.4800,784.8900,1287109
^DAUKHI,20180404,784.8900,793.5800,762.9400,770.6300,1409697
^DAUKHI,20180405,770.6300,776.5500,751.5800,765.4300,1324022
^DAUKHI,20180406,765.4300,782.4800,754.6900,765.3800,1048096
^DAUKHI,20180409,765.3800,773.0700,753.5000,766.4000,912239
^DAUKHI,20180410,766.4000,774.0400,756.5600,761.4400,835553
^DAUKHI,20180411,761.4400,777.2100,740.7200,744.1700,1079554
^DAUKHI,20180412,744.1700,760.9800,735.1200,758.4100,1151412
^DAUKHI,20180413,758.4100,767.8400,728.7400,740.9800,802392
^DAUKHI,20180416,740.9800,750.3400,728.0100,740.0400,844202
^DAUKHI,20180417,740.0400,746.5300,720.7700,736.5400,749043
^DAUKHI,20180418,736.5400,743.8400,722.4000,732.2600,843356
^DAUKHI,20180419,732.2600,744.6400,709.9000,714.6200,1266112
^DAUKHI,20180420,714.6200,738.0400,707.4300,736.2800,877309
^DAUKHI,20180423,736.2800,752.2500,693.7500,696.0700,948358
^DAUKHI,20180424,696.0700,715.2900,660.9700,701.2100,867249
^DAUKHI,20180426,701.2100,706.9100,650.4000,653.7800,1127191
