<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^THEP,20100730,329.6000,334.5000,326.5800,328.6000,365928
^THEP,20100802,328.6000,330.2300,326.6300,328.4600,225868
^THEP,20100803,328.4600,338.5700,323.1500,326.7300,420317
^THEP,20100804,326.7300,330.3700,320.6600,326.5200,359632
^THEP,20100805,326.5200,333.8200,322.4600,323.3900,124725
^THEP,20100806,323.3900,328.7800,316.2900,325.1200,261099
^THEP,20100809,325.1200,326.7000,312.8200,316.1600,323742
^THEP,20100810,316.1600,317.4000,301.4300,304.1100,443694
^THEP,20100811,304.1100,308.8200,297.6400,303.1700,405594
^THEP,20100812,303.1700,303.1700,289.3400,289.3400,533413
^THEP,20100813,289.3400,299.4000,284.9600,299.3200,465437
^THEP,20100816,299.3200,313.9100,299.3200,313.9100,345226
^THEP,20100817,313.9100,319.4200,309.1100,316.6900,213161
^THEP,20100818,316.6900,322.3100,313.3000,319.3900,317582
^THEP,20100819,319.3900,324.5700,316.0000,320.6100,169173
^THEP,20100820,320.6100,327.2400,315.2900,325.1400,186237
^THEP,20100823,325.1400,327.1400,322.2300,324.8800,255189
^THEP,20100824,324.8800,324.8800,311.5800,312.4700,375443
^THEP,20100825,312.4700,312.4700,300.0700,300.5200,297495
^THEP,20100826,300.5200,308.0800,295.2100,307.7400,344170
^THEP,20100827,307.7400,316.7600,297.2700,304.9200,318906
^THEP,20100830,304.9200,319.6800,304.9200,319.6000,427563
^THEP,20100831,319.6000,334.1600,319.2600,331.3600,694426
^THEP,20100901,331.3600,343.2200,325.4700,342.0200,583266
^THEP,20100906,342.0200,354.9900,340.9600,343.6600,452975
^THEP,20100907,343.6600,344.4800,332.5200,333.2300,354905
^THEP,20100908,333.2300,338.1700,323.5600,334.8300,263308
^THEP,20100909,334.8300,344.3600,331.5200,338.1800,256938
^THEP,20100910,338.1800,338.1800,326.5100,328.0600,227609
^THEP,20100913,328.0600,332.0200,318.1500,325.6400,151245
^THEP,20100914,325.6400,332.8800,322.4800,326.0800,256593
^THEP,20100915,326.0800,329.8500,323.7300,326.9400,196591
^THEP,20100916,326.9400,329.9400,322.6500,328.5000,145873
^THEP,20100917,328.5000,340.8600,323.7800,338.3700,499787
^THEP,20100920,338.3700,342.9700,334.7600,337.3400,281312
^THEP,20100921,337.3400,338.2700,325.0800,327.5600,347701
^THEP,20100922,327.5600,331.3500,325.5700,329.5100,225292
^THEP,20100923,329.5100,329.9600,324.6300,327.2600,426406
^THEP,20100924,327.2600,330.7800,323.1400,325.7200,269324
^THEP,20100927,325.7200,330.1700,320.2900,324.0000,137815
^THEP,20100928,324.0000,327.9200,322.3100,324.0000,334378
^THEP,20100929,324.0000,324.9800,318.9800,319.9900,278423
^THEP,20100930,319.9900,319.9900,314.0300,315.5000,240774
^THEP,20101001,315.5000,320.8300,312.1000,315.9000,83552
^THEP,20101004,315.9000,317.1100,306.4100,309.9800,375701
^THEP,20101005,309.9800,313.5500,298.5300,310.4400,452574
^THEP,20101006,310.4400,318.7600,309.8200,317.3800,470536
^THEP,20101007,317.3800,322.8000,313.4100,317.6300,251061
^THEP,20101008,317.6300,318.3900,314.7200,314.7200,206673
^THEP,20101011,314.7200,321.2300,311.4300,321.2300,193804
^THEP,20101012,321.2300,323.7100,313.1100,315.9200,267029
^THEP,20101013,315.9200,317.5600,312.4500,316.3200,287127
^THEP,20101014,316.3200,324.8500,315.3400,315.3400,374230
^THEP,20101015,315.3400,318.8400,309.9900,315.7000,460264
^THEP,20101018,315.7000,317.8300,313.6900,315.3800,294725
^THEP,20101019,315.3800,317.1700,309.8400,313.0500,280097
^THEP,20101020,313.0500,313.0500,302.8000,306.8300,302708
^THEP,20101021,306.8300,310.9400,304.2000,307.9400,183030
^THEP,20101022,307.9400,310.6200,304.6900,310.2200,182325
^THEP,20101025,310.2200,312.6600,307.2100,311.7300,139651
^THEP,20101026,311.7300,320.1100,310.3900,314.9800,150478
^THEP,20101027,314.9800,316.1000,310.6100,311.8600,193469
^THEP,20101028,311.8600,313.1600,310.2000,311.4900,128389
^THEP,20101029,311.4900,312.4400,310.1900,312.2200,153058
^THEP,20101101,312.2200,313.7700,308.9100,312.7900,100863
^THEP,20101102,312.7900,312.7900,308.6400,312.0200,86065
^THEP,20101103,312.0200,313.6300,308.9000,311.7400,163421
^THEP,20101104,311.7400,314.3700,309.0300,311.2600,63535
^THEP,20101105,311.2600,317.5900,310.6300,315.5000,323524
^THEP,20101108,315.5000,315.9500,312.2000,313.1900,147667
^THEP,20101109,313.1900,313.1900,304.8800,308.4100,155984
^THEP,20101110,308.4100,308.9400,304.2900,307.3100,232240
^THEP,20101111,307.3100,307.8600,300.5700,301.6500,175848
^THEP,20101112,301.6500,302.5800,289.7900,299.5900,240246
^THEP,20101115,299.5900,299.8200,291.3800,297.2600,197658
^THEP,20101116,297.2600,299.0400,290.8400,294.2100,148302
^THEP,20101117,294.2100,297.5100,289.6100,289.8900,186753
^THEP,20101118,289.8900,298.2800,284.9800,294.6300,225117
^THEP,20101119,294.6300,301.9500,291.1700,293.1200,223290
^THEP,20101122,293.1200,299.2600,289.7600,293.7500,231774
^THEP,20101123,293.7500,302.5500,292.6800,298.3400,302490
^THEP,20101124,298.3400,300.6300,292.5400,298.7300,186510
^THEP,20101125,298.7300,301.8700,298.1100,300.3100,233376
^THEP,20101126,300.3100,307.8000,298.8000,299.6600,138843
^THEP,20101129,299.6600,310.2400,294.3800,307.9700,317500
^THEP,20101130,307.9700,315.9900,306.7300,312.3000,427949
^THEP,20101201,312.3000,318.6700,309.7900,313.6300,256543
^THEP,20101202,313.6300,317.1000,308.7200,316.3400,327060
^THEP,20101203,316.3400,323.1600,315.2700,317.7400,296685
^THEP,20101206,317.7400,321.8700,315.1200,316.6900,316554
^THEP,20101207,316.6900,318.0700,307.7200,309.9400,380953
^THEP,20101208,309.9400,314.5700,301.2000,301.9100,226242
^THEP,20101209,301.9100,311.6200,298.9200,308.0700,242668
^THEP,20101210,308.0700,318.2600,307.3100,317.0200,320082
^THEP,20101213,317.0200,331.1600,317.0200,330.0300,681037
^THEP,20101214,330.0300,333.0900,318.3900,326.5200,410540
^THEP,20101215,326.5200,327.9700,319.7900,323.6200,318263
^THEP,20101216,323.6200,324.1700,313.8500,319.4400,363639
^THEP,20101217,319.4400,323.4700,314.9800,319.4400,438976
^THEP,20101220,319.4400,321.7400,315.8000,318.9100,236027
^THEP,20101221,318.9100,321.4500,311.9200,320.7800,357009
^THEP,20101222,320.7800,322.6700,315.9800,316.9200,357467
^THEP,20101223,316.9200,317.7200,309.6800,315.1400,311503
^THEP,20101224,315.1400,316.2400,308.3400,313.1000,262564
^THEP,20101227,313.1000,314.0400,307.3500,311.6800,155999
^THEP,20101228,311.6800,314.7600,308.4200,312.6000,175599
^THEP,20101229,312.6000,315.1700,310.1200,312.4400,180773
^THEP,20101230,312.4400,314.3500,310.0800,313.5100,277614
^THEP,20101231,313.5100,316.2600,310.1100,316.0800,217103
^THEP,20110104,316.0800,317.7600,313.1700,313.9100,126516
^THEP,20110105,313.9100,314.5400,306.8800,306.9600,161206
^THEP,20110106,306.9600,307.5000,303.4000,305.0800,161085
^THEP,20110107,305.0800,309.5700,303.6000,308.3200,104309
^THEP,20110110,308.3200,309.5200,302.5700,304.1500,178804
^THEP,20110111,304.1500,305.0800,297.4200,301.7100,174179
^THEP,20110112,301.7100,303.4100,297.2300,300.8600,114463
^THEP,20110113,300.8600,303.6900,299.6600,301.8800,224788
^THEP,20110114,301.8800,304.5400,285.5800,303.3900,286574
^THEP,20110117,303.3900,312.0900,298.4300,308.6900,264213
^THEP,20110118,308.6900,315.3400,302.9500,312.7600,284089
^THEP,20110119,312.7600,323.9100,308.4600,322.2000,433626
^THEP,20110120,322.2000,331.3900,314.1500,327.7900,364992
^THEP,20110121,327.7900,328.0700,319.6100,320.8400,298950
^THEP,20110124,320.8400,321.7300,311.7600,313.6600,106182
^THEP,20110125,313.6600,313.6600,304.7900,305.7900,219528
^THEP,20110126,305.7900,308.2700,299.9100,303.8700,173546
^THEP,20110127,303.8700,310.1200,299.7100,309.9400,379099
^THEP,20110128,309.9400,312.6100,304.0800,308.2100,331524
^THEP,20110208,308.2100,314.7800,306.2600,310.2400,357325
^THEP,20110209,310.2400,313.2500,303.3800,304.0400,333065
^THEP,20110210,304.0400,306.0400,300.7600,304.2100,205804
^THEP,20110211,304.2100,305.1500,298.2400,300.1900,84194
^THEP,20110214,300.1900,302.1800,297.1800,297.5800,233042
^THEP,20110215,297.5800,298.1100,288.8500,291.5500,305527
^THEP,20110216,291.5500,293.3600,289.0000,289.9000,149300
^THEP,20110217,289.9000,291.8300,282.5300,288.2800,356395
^THEP,20110218,288.2800,290.2000,282.9200,283.8900,240394
^THEP,20110221,283.8900,284.3200,269.7800,269.7800,253079
^THEP,20110222,269.7800,273.5200,257.2200,261.5900,539849
^THEP,20110223,261.5900,269.6800,260.8700,262.9300,177041
^THEP,20110224,262.9300,264.4900,252.9500,259.6300,302525
^THEP,20110225,259.6300,267.1800,257.4500,267.0900,59236
^THEP,20110228,267.0900,270.8600,259.4600,261.2500,268841
^THEP,20110301,261.2500,261.4400,254.9500,257.5900,269094
^THEP,20110302,257.5900,258.6500,245.4900,248.2700,596116
^THEP,20110303,248.2700,249.2500,238.7400,243.5500,149682
^THEP,20110304,243.5500,246.8000,241.4800,242.9600,235454
^THEP,20110307,242.9600,251.5600,236.2400,247.2600,466635
^THEP,20110308,247.2600,251.2200,242.4500,246.2100,464473
^THEP,20110309,246.2100,250.8900,240.8100,247.0300,301611
^THEP,20110310,247.0300,255.2200,247.0300,253.6600,236274
^THEP,20110311,253.6600,264.4100,253.6600,264.1900,285970
^THEP,20110314,264.1900,266.4400,254.9500,257.7200,372937
^THEP,20110315,257.7200,264.4400,252.6000,258.7000,119475
^THEP,20110316,258.7000,262.3200,251.7800,253.1100,291675
^THEP,20110317,253.1100,261.9400,252.2000,255.3900,210464
^THEP,20110318,255.3900,263.5700,253.1100,261.5100,448018
^THEP,20110321,261.5100,268.7300,258.9300,264.1500,264413
^THEP,20110322,264.1500,271.1300,260.7100,268.8800,484406
^THEP,20110323,268.8800,273.4600,265.0400,268.6000,580589
^THEP,20110324,268.6000,279.9300,263.8600,269.2000,511200
^THEP,20110325,269.2000,275.3600,265.2400,270.3500,492797
^THEP,20110328,270.3500,275.7200,268.4600,272.6000,508925
^THEP,20110329,272.6000,274.9500,266.2400,270.6700,506739
^THEP,20110330,270.6700,273.9400,263.3900,266.3400,638674
^THEP,20110331,266.3400,270.8000,263.6900,266.6100,252865
^THEP,20110401,266.6100,269.8500,264.7000,265.8700,128280
^THEP,20110404,265.8700,268.5500,261.9700,266.0200,302294
^THEP,20110405,266.0200,267.6200,262.5600,265.0400,106822
^THEP,20110406,265.0400,272.3100,262.4000,271.7300,235537
^THEP,20110407,271.7300,274.1600,267.1500,271.0600,91395
^THEP,20110408,271.0600,274.6800,264.7200,271.8700,406082
^THEP,20110413,271.8700,273.6900,268.4300,270.1400,144655
^THEP,20110414,270.1400,270.9100,262.6900,264.6100,225898
^THEP,20110415,264.6100,267.7100,261.3800,265.7300,274530
^THEP,20110418,265.7300,266.9800,261.2900,261.4700,27502
^THEP,20110419,261.4700,263.1000,254.7000,257.9100,121557
^THEP,20110420,257.9100,261.6800,254.9900,258.7700,154542
^THEP,20110421,258.7700,258.9500,252.6000,253.6400,95649
^THEP,20110422,253.6400,255.2800,244.7800,247.2800,111134
^THEP,20110425,247.2800,257.7000,245.2500,257.5200,63448
^THEP,20110426,257.5200,258.3600,252.9900,255.0900,118779
^THEP,20110427,255.0900,256.8300,252.6500,256.7700,123562
^THEP,20110428,256.7700,258.3600,252.3300,256.4200,64973
^THEP,20110429,256.4200,258.8700,252.9200,254.9100,77232
^THEP,20110504,254.9100,258.7000,252.2600,255.5500,136107
^THEP,20110505,255.5500,256.4300,251.6600,252.9900,154858
^THEP,20110506,252.9900,256.1500,251.5800,253.2900,227400
^THEP,20110509,253.2900,258.3600,251.5500,252.6900,216188
^THEP,20110510,252.6900,258.3600,250.8600,252.9700,194706
^THEP,20110511,252.9700,253.3400,250.2500,251.7800,56157
^THEP,20110512,251.7800,254.2200,247.2200,251.0000,60968
^THEP,20110513,251.0000,255.2800,249.4000,252.3100,158325
^THEP,20110516,252.3100,255.1300,249.5500,252.8700,113997
^THEP,20110517,252.8700,252.8700,247.3600,248.0700,146627
^THEP,20110518,248.0700,248.6400,244.5700,247.1800,129203
^THEP,20110519,247.1800,249.8700,244.1700,245.9100,85678
^THEP,20110520,245.9100,246.0600,237.5800,237.5800,182876
^THEP,20110523,237.5800,239.3400,229.6400,232.2500,139854
^THEP,20110524,232.2500,232.2500,222.0600,222.9600,197533
^THEP,20110525,222.9600,224.7100,215.9700,218.2200,330622
^THEP,20110526,218.2200,227.7300,211.5900,227.2800,156889
^THEP,20110527,227.2800,234.7000,225.8400,234.7000,142680
^THEP,20110530,234.7000,235.2900,227.0100,227.2100,125328
^THEP,20110531,227.2100,233.3200,224.0400,232.5300,147885
^THEP,20110601,232.5300,242.7000,229.0100,242.5000,238013
^THEP,20110602,242.5000,254.1400,241.9300,252.3400,306806
